# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-a" "/home/yc1201/rnaseq_ypd1/reference/genomic.gtf" "-t" "exon" "-g" "gene_id" "-o" "/home/yc1201/rnaseq_ypd1/results/counts/candida_counts_matrix.txt" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_1_WT1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_2_WT2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_3_kcs1-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_4_kcs1-2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_5_vip1-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_6_vip1-2_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_7_dbl-1_Aligned.sortedByCoord.out.bam" "/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_8_dbl-2_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_1_WT1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_2_WT2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_3_kcs1-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_4_kcs1-2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_5_vip1-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_6_vip1-2_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_7_dbl-1_Aligned.sortedByCoord.out.bam	/home/yc1201/rnaseq_ypd1/results/aligned/2GK5PB_8_dbl-2_Aligned.sortedByCoord.out.bam
CAALFM_C202880CA	NC_032090.1	575277	576455	-	1179	227	237	226	207	361	522	227	217
CAALFM_C202890WA	NC_032090.1	577820	579976	+	2157	568	580	621	581	622	580	470	455
CAALFM_C202900WA	NC_032090.1	580559	580909	+	351	561	609	631	552	598	653	575	579
CAALFM_C202910WA	NC_032090.1	581973	582236	+	264	124	93	207	195	208	239	72	52
CAALFM_C202920WA	NC_032090.1	583204	583761	+	558	1358	1219	1273	1330	1794	1501	1011	795
CAALFM_C202930CA	NC_032090.1	584177	585442	-	1266	709	797	750	768	882	855	753	730
CAALFM_C202940WA	NC_032090.1	586142	587827	+	1686	111	92	135	124	232	252	153	136
CAALFM_C202950WA	NC_032090.1	588152	589513	+	1362	125	104	113	94	190	184	84	84
CAALFM_C202960CA	NC_032090.1	589813	591033	-	1221	191	146	252	247	344	402	279	159
CAALFM_C202970CA	NC_032090.1	591403	592902	-	1500	31880	34135	26165	24056	15192	16986	23858	21407
CAALFM_C202980CA	NC_032090.1	595308	597062	-	1755	291	323	341	344	725	606	382	381
CAALFM_C202990CA	NC_032090.1	597477	601388	-	3912	770	825	829	776	892	885	764	710
CAALFM_C203000CA	NC_032090.1	602011	603051	-	1041	244	304	286	368	411	383	410	372
CAALFM_C203010CA	NC_032090.1	603455	604696	-	1242	3851	4200	3746	3692	4273	4016	4563	4430
CAALFM_C203020CA	NC_032090.1	606159	608219	-	2061	348	374	399	380	570	554	329	286
CAALFM_C203030WA	NC_032090.1	610668	613454	+	2787	109	78	127	121	210	154	125	134
CAALFM_C203040WA	NC_032090.1	613973	614860	+	888	425	308	413	431	592	445	604	487
CAALFM_C203050WA	NC_032090.1	615026	616600	+	1575	744	739	738	796	674	783	671	518
CAALFM_C203060WA	NC_032090.1	616878	618113	+	1236	4983	5313	4932	4773	6184	5621	4414	3972
CAALFM_C203070CA	NC_032090.1	618202	619698	-	1497	701	798	910	861	1306	1193	1043	929
CAALFM_C203080WA	NC_032090.1	620854	621963	+	1110	11300	10902	9873	9903	9270	7855	11769	10249
CAALFM_C203090CA	NC_032090.1	622122	622790	-	669	1658	1629	1536	1731	922	868	1404	1283
CAALFM_C203100WA	NC_032090.1;NC_032090.1	623498;623700	623501;626224	+;+	2529	204180	214084	208387	204692	210429	191511	226085	199954
CAALFM_C203110WA	NC_032090.1	628185	629063	+	879	68	49	73	66	149	109	80	89
CAALFM_C203120WA	NC_032090.1	630696	632825	+	2130	248	184	254	254	286	368	65	80
CAALFM_C203130WA	NC_032090.1	633048	633668	+	621	1019	1317	1142	1168	881	870	1272	1213
CAALFM_C203140CA	NC_032090.1	633926	636181	-	2256	490	463	438	443	611	561	420	421
CAALFM_C203150CA	NC_032090.1	636492	638513	-	2022	511	498	523	477	627	682	452	403
CAALFM_C203160CA	NC_032090.1	639344	641908	-	2565	6947	7528	7232	7519	8202	7760	8183	7587
CAALFM_C203170WA	NC_032090.1	643405	644115	+	711	117	118	105	127	165	142	110	82
CAALFM_C203180CA	NC_032090.1	644266	654126	-	9861	4674	4560	4350	4573	5240	4052	3711	3623
CAALFM_C203200WA	NC_032090.1	655510	656850	+	1341	271	301	349	354	389	425	362	336
CAALFM_C203210WA	NC_032090.1;NC_032090.1;NC_032090.1	657092;657261;657504	657139;657409;657531	+;+;+	225	54	62	79	71	51	46	66	76
CAALFM_C203220CA	NC_032090.1	658895	660025	-	1131	964	1092	795	685	438	434	1171	1109
CAALFM_C203230CA	NC_032090.1	663649	664527	-	879	211	218	235	197	227	238	231	206
CAALFM_C203240CA	NC_032090.1	665418	669563	-	4146	352	276	268	273	284	210	235	197
CAALFM_C203250WA	NC_032090.1	672719	674041	+	1323	886	917	997	922	1398	1345	939	909
CAALFM_C203260WA	NC_032090.1	674262	674963	+	702	589	426	539	436	451	429	415	453
CAALFM_C203270WA	NC_032090.1	675806	676552	+	747	15216	14640	14420	11828	20780	22146	24060	22736
CAALFM_C203280WA	NC_032090.1	677031	679187	+	2157	2673	2941	3003	2757	3536	3311	3406	2978
CAALFM_C203290WA	NC_032090.1	679560	680408	+	849	170	199	227	182	318	292	120	127
CAALFM_C203300WA	NC_032090.1	680927	681952	+	1026	2624	3060	2547	2622	2394	2199	2736	2369
CAALFM_C203310CA	NC_032090.1	682113	682763	-	651	417	516	414	437	350	395	433	412
CAALFM_C203320WA	NC_032090.1	683898	691313	+	7416	618	564	738	604	702	607	483	487
CAALFM_C203330CA	NC_032090.1	691444	692577	-	1134	684	731	623	638	830	812	686	621
CAALFM_C203340WA	NC_032090.1	692973	695063	+	2091	464	397	377	386	335	277	417	363
CAALFM_C203350WA	NC_032090.1	695735	697408	+	1674	16	6	17	18	21	38	7	1
CAALFM_C203360WA	NC_032090.1	698119	700455	+	2337	1633	1838	1800	1816	2180	2122	2178	2032
CAALFM_C203370WA	NC_032090.1	700790	702436	+	1647	171	186	294	288	662	650	187	211
CAALFM_C203380WA	NC_032090.1	702727	706917	+	4191	2633	2517	2527	2481	2967	2812	2180	1967
CAALFM_C203390CA	NC_032090.1	707074	709512	-	2439	1357	1281	1556	1537	1725	1758	1321	1182
CAALFM_C203400CA	NC_032090.1	710171	711886	-	1716	251	298	293	285	238	164	223	245
CAALFM_C203410WA	NC_032090.1	712666	715701	+	3036	511	600	545	544	522	495	590	573
CAALFM_C203420CA	NC_032090.1	715773	718100	-	2328	425	409	481	433	624	533	467	448
CAALFM_C203430WA	NC_032090.1	718272	719168	+	897	496	519	596	613	512	535	556	449
CAALFM_C203440WA	NC_032090.1	719546	720286	+	741	1289	1305	1584	1414	1738	1660	1547	1373
CAALFM_C203450WA	NC_032090.1	720617	721876	+	1260	1298	1607	1507	1615	1143	1231	1729	1446
CAALFM_C203460CA	NC_032090.1	721980	723086	-	1107	503	508	608	511	498	509	545	462
CAALFM_C203470CA	NC_032090.1;NC_032090.1	723706;724068	723991;724234	-;-	453	18272	20133	18297	17930	14350	12836	21010	19261
CAALFM_C203490CA	NC_032090.1	725206	726486	-	1281	88	109	108	101	125	135	89	83
CAALFM_C203500WA	NC_032090.1	728326	731385	+	3060	677	640	652	619	878	960	712	598
CAALFM_C203520CA	NC_032090.1	740722	742359	-	1638	185	166	255	228	307	240	76	123
CAALFM_C203530WA	NC_032090.1	747174	748787	+	1614	894	1067	1065	994	941	896	925	982
CAALFM_C203540WA	NC_032090.1	749770	751692	+	1923	1857	2047	2432	2083	3051	2998	1588	1478
CAALFM_C203550CA	NC_032090.1	751790	754894	-	3105	700	792	870	777	955	872	865	798
CAALFM_C203560CA	NC_032090.1	755206	756342	-	1137	4093	4372	4002	4362	3353	3369	4272	4026
CAALFM_C203570CA	NC_032090.1	756676	757386	-	711	459	584	665	607	680	655	542	498
CAALFM_C203580WA	NC_032090.1	757870	757953	+	84	207	233	236	204	219	230	219	207
CAALFM_C203590CA	NC_032090.1	758090	758620	-	531	553	622	577	550	715	572	546	516
CAALFM_C203600WA	NC_032090.1	759431	761515	+	2085	93	104	70	92	86	85	58	85
CAALFM_C203610WA	NC_032090.1	763392	765050	+	1659	339	374	281	298	301	310	126	114
CAALFM_C203620WA	NC_032090.1	766541	768199	+	1659	83	92	125	144	195	173	112	104
CAALFM_C203630WA	NC_032090.1	768418	769167	+	750	12	17	8	41	36	22	9	9
CAALFM_C203640WA	NC_032090.1	769687	770991	+	1305	101	86	99	116	104	127	80	56
CAALFM_C203660WA	NC_032090.1	771703	771774	+	72	0	2	3	3	21	15	0	0
CAALFM_C203670WA	NC_032090.1	773072	774163	+	1092	75	80	135	82	146	112	32	52
CAALFM_C203680WA	NC_032090.1	775409	776503	+	1095	327	285	334	304	280	255	231	170
CAALFM_C203690CA	NC_032090.1	776856	779372	-	2517	155	142	306	285	387	427	135	123
CAALFM_C203700WA	NC_032090.1	782202	783326	+	1125	219	232	173	223	191	134	181	140
CAALFM_C203710WA	NC_032090.1	785869	788415	+	2547	5	3	17	14	30	27	2	1
CAALFM_C203720WA	NC_032090.1	789500	789823	+	324	0	3	3	12	5	22	3	0
CAALFM_C203730WA	NC_032090.1	790147	790219	+	73	0	0	0	0	0	0	0	0
CAALFM_C203740WA	NC_032090.1;NC_032090.1	790226;790278	790262;790313	+;+	73	18	13	14	19	22	37	2	9
CAALFM_C203750WA	NC_032090.1	790963	792051	+	1089	957	854	878	863	1494	1524	968	763
CAALFM_C203760CA	NC_032090.1	792275	795163	-	2889	1145	1153	1320	1125	961	1000	772	649
CAALFM_C203770CA	NC_032090.1	795612	798083	-	2472	334	368	336	308	308	324	338	342
CAALFM_C203780CA	NC_032090.1	798539	800725	-	2187	933	933	948	948	1079	1008	831	819
CAALFM_C203790CA	NC_032090.1	801061	801405	-	345	716	631	552	536	982	1199	475	476
CAALFM_C203800CA	NC_032090.1	801900	803990	-	2091	1323	1551	2090	2068	2925	2854	1786	1670
CAALFM_C203810CA	NC_032090.1;NC_032090.1	804382;805183	804853;805193	-;-	483	109904	119266	112001	111965	87598	83069	124736	116929
CAALFM_C203820CA	NC_032090.1;NC_032090.1	805679;806730	806241;806736	-;-	570	122252	136238	129596	131517	107586	95061	146033	133968
CAALFM_C203830WA	NC_032090.1	807027	808910	+	1884	496	563	558	569	461	433	652	605
CAALFM_C203840CA	NC_032090.1;NC_032090.1	809042;809387	809302;809518	-;-	393	43	78	60	60	74	75	53	54
CAALFM_C203850WA	NC_032090.1	810292	810364	+	73	0	0	0	0	0	0	0	0
CAALFM_C203860WA	NC_032090.1;NC_032090.1	810371;810423	810407;810458	+;+	73	5	4	12	9	45	33	0	3
CAALFM_C203870WA	NC_032090.1	810975	811424	+	450	241	214	212	232	290	327	255	265
CAALFM_C203880CA	NC_032090.1;NC_032090.1;NC_032090.1;NC_032090.1	811574;811664;811781;812000	811591;811696;811927;812026	-;-;-;-	225	520	571	513	545	528	626	615	553
CAALFM_C203890WA	NC_032090.1	812259	813371	+	1113	159	224	196	258	325	301	264	238
CAALFM_C203900CA	NC_032090.1	813428	815788	-	2361	2208	2201	2298	1957	1964	2129	1953	2002
CAALFM_C203910CA	NC_032090.1	816220	818748	-	2529	594	641	615	566	749	724	473	478
CAALFM_C203920CA	NC_032090.1	819247	822291	-	3045	178	183	199	199	170	168	222	207
CAALFM_C203930CA	NC_032090.1	822952	824469	-	1518	423	418	534	483	683	667	477	499
CAALFM_C203940CA	NC_032090.1	825401	827764	-	2364	354	429	393	464	444	482	502	466
CAALFM_C203950WA	NC_032090.1	830390	831187	+	798	3057	3636	3306	3592	2877	2728	3945	3365
CAALFM_C203960WA	NC_032090.1;NC_032090.1	831558;831996	831570;832282	+;+	300	19103	21119	18137	20984	13025	14359	21904	20180
CAALFM_C203970WA	NC_032090.1;NC_032090.1	832702;833381	833299;833439	+;+	657	174	211	313	317	403	329	220	211
CAALFM_C203980CA	NC_032090.1	833964	835820	-	1857	578	591	763	772	1108	1047	726	671
CAALFM_C203990WA	NC_032090.1	836081	837178	+	1098	2481	2717	2960	3057	3258	3375	3143	2733
CAALFM_C204000CA	NC_032090.1	837207	837875	-	669	121	133	153	108	215	174	80	56
CAALFM_C204010CA	NC_032090.1	838065	838634	-	570	464	337	280	315	426	416	283	292
CAALFM_C204020CA	NC_032090.1	839032	840156	-	1125	1142	1294	1173	1161	1111	1050	1064	1168
CAALFM_C204030CA	NC_032090.1	840690	841022	-	333	1550	1577	1572	1616	1100	929	1712	1514
CAALFM_C204040CA	NC_032090.1	841309	846615	-	5307	327	374	400	353	480	428	355	382
CAALFM_C204050CA	NC_032090.1	847533	853277	-	5745	4304	4166	4461	4350	5781	5368	3556	3866
CAALFM_C204060CA	NC_032090.1	854661	857303	-	2643	284	239	820	723	1162	1165	185	233
CAALFM_C204070CA	NC_032090.1	857706	857920	-	215	49	56	513	441	1012	1303	88	98
CAALFM_C204080WA	NC_032090.1	858566	860644	+	2079	4875	5362	5428	5939	6500	6357	3715	3644
CAALFM_C204090WA	NC_032090.1	860981	862354	+	1374	26	16	221	227	505	484	52	32
CAALFM_C204100WA	NC_032090.1	862515	863651	+	1137	144	142	219	212	235	323	202	159
CAALFM_C204110WA	NC_032090.1;NC_032090.1	864185;864304	864242;867989	+;+	3744	196	185	427	509	907	834	204	178
CAALFM_C204120CA	NC_032090.1	868107	869474	-	1368	1166	1285	1327	1573	1246	1169	992	928
CAALFM_C204130WA	NC_032090.1	870626	872458	+	1833	794	745	810	662	821	750	790	649
CAALFM_C204140WA	NC_032090.1	872931	874619	+	1689	1170	1222	1158	1097	1461	1280	1160	1017
CAALFM_C204150CA	NC_032090.1	874851	875207	-	357	1871	1933	1715	1656	1913	1747	2263	2128
CAALFM_C204160WA	NC_032090.1	875525	876382	+	858	1033	1227	1263	1257	1159	1119	1051	966
CAALFM_C204170CA	NC_032090.1	876638	876868	-	231	23673	26595	23183	22875	19052	17709	32131	30000
CAALFM_C204180CA	NC_032090.1	877101	878081	-	981	748	690	774	709	810	752	646	622
CAALFM_C204190CA	NC_032090.1	878553	879968	-	1416	407	460	388	427	760	788	455	456
CAALFM_C204200WA	NC_032090.1	880756	883416	+	2661	719	782	1085	984	1416	1189	1177	1081
CAALFM_C204210WA	NC_032090.1	884415	885788	+	1374	35	38	84	70	112	80	57	63
CAALFM_C204220CA	NC_032090.1;NC_032090.1	886061;886962	886843;886970	-;-	792	3080	3263	3152	3217	2891	2847	3312	3215
CAALFM_C204230WA	NC_032090.1	887776	888957	+	1182	1001	1002	1024	1008	1561	1452	1129	1095
CAALFM_C204240CA	NC_032090.1	889091	890104	-	1014	893	932	966	879	878	921	809	702
CAALFM_C204250WA	NC_032090.1	890702	892699	+	1998	134	107	125	94	110	117	89	86
CAALFM_C204260WA	NC_032090.1	893030	894856	+	1827	646	649	574	588	610	588	596	543
CAALFM_C204270WA	NC_032090.1	895055	896074	+	1020	691	791	696	740	686	921	892	806
CAALFM_C204280WA	NC_032090.1;NC_032090.1	897773;899438	898652;900651	+;+	2094	54	81	44	60	31	47	2	17
CAALFM_C204290WA	NC_032090.1	899422	900651	+	1230	9	2	1	0	1	0	0	7
CAALFM_C204300CA	NC_032090.1	900914	901672	-	759	163	177	191	189	286	314	192	166
CAALFM_C204310WA	NC_032090.1	902492	903700	+	1209	5660	6328	5907	5645	5510	5474	7264	6531
CAALFM_C204320WA	NC_032090.1	903918	905699	+	1782	213	192	212	241	357	399	170	145
CAALFM_C204330CA	NC_032090.1	905838	906848	-	1011	300	332	297	242	279	216	268	213
CAALFM_C204340CA	NC_032090.1	907655	908230	-	576	601	687	646	548	543	522	561	530
CAALFM_C204350CA	NC_032090.1	908645	910807	-	2163	906	956	987	977	1153	1115	886	829
CAALFM_C204360WA	NC_032090.1	911437	914340	+	2904	850	842	909	833	840	775	628	651
CAALFM_C204370WA	NC_032090.1	914705	915937	+	1233	320	348	360	280	355	362	346	392
CAALFM_C204380CA	NC_032090.1	916040	917584	-	1545	286	270	384	341	390	443	404	359
CAALFM_C204390WA	NC_032090.1	918662	919405	+	744	50	77	151	127	241	234	59	70
CAALFM_C204400WA	NC_032090.1	920773	921963	+	1191	413	394	364	456	632	572	670	550
CAALFM_C204410WA	NC_032090.1	922531	924594	+	2064	101	161	160	171	338	260	172	135
CAALFM_C204420WA	NC_032090.1	925532	927565	+	2034	163	146	172	176	216	240	160	133
CAALFM_C204430WA	NC_032090.1	928590	928910	+	321	3	0	12	8	21	9	0	0
CAALFM_C204440WA	NC_032090.1	928957	929604	+	648	0	1	7	2	20	18	6	0
CAALFM_C204450WA	NC_032090.1	929893	930708	+	816	53	77	164	140	381	361	92	86
CAALFM_C204460WA	NC_032090.1	931947	933200	+	1254	592	597	606	574	1158	1066	704	719
CAALFM_C204470WA	NC_032090.1	935501	936349	+	849	46	56	28	41	45	63	5	19
CAALFM_C204480WA	NC_032090.1	937444	938493	+	1050	213	229	194	205	385	470	73	124
CAALFM_C204490WA	NC_032090.1	938705	939382	+	678	1267	1385	1404	1266	1462	1450	1746	1671
CAALFM_C204500WA	NC_032090.1	940654	946401	+	5748	2268	2249	2402	2338	2810	2470	3167	3095
CAALFM_C204510WA	NC_032090.1	946908	948107	+	1200	1723	1841	2095	2103	1910	1818	1850	1899
CAALFM_C204520CA	NC_032090.1	948352	949059	-	708	112	146	163	174	195	237	151	113
CAALFM_C204530WA	NC_032090.1	949282	950001	+	720	80	96	114	109	116	154	106	83
CAALFM_C204540CA	NC_032090.1	950284	951336	-	1053	931	1050	1057	1043	1295	1314	1123	1067
CAALFM_C204550CA	NC_032090.1	952424	953896	-	1473	257	214	195	177	185	157	188	204
CAALFM_C204560WA	NC_032090.1	955040	956479	+	1440	31	37	100	125	144	202	43	38
CAALFM_C204570WA	NC_032090.1	956813	958096	+	1284	2176	2350	2422	2597	2203	2333	2171	2128
CAALFM_C204580WA	NC_032090.1	958569	959624	+	1056	362	449	561	463	530	540	535	414
CAALFM_C204590CA	NC_032090.1	959841	960128	-	288	7872	7883	8076	7847	6618	5682	8291	7780
CAALFM_C204600CA	NC_032090.1	961320	961877	-	558	7691	7450	7343	7937	5046	4122	5849	5639
CAALFM_C204610CA	NC_032090.1	963219	963350	-	132	22	45	63	43	69	103	37	35
CAALFM_C204620WA	NC_032090.1	965382	968297	+	2916	1107	1175	1166	1297	742	705	761	625
CAALFM_C204640CA	NC_032090.1	971681	974749	-	3069	193	206	253	226	241	225	218	250
CAALFM_C204650CA	NC_032090.1	975240	976046	-	807	399	459	483	477	372	433	295	316
CAALFM_C204660CA	NC_032090.1	976775	979204	-	2430	311	310	311	252	189	197	277	226
CAALFM_C204670WA	NC_032090.1	979878	980315	+	438	10	8	31	15	13	22	21	10
CAALFM_C204680WA	NC_032090.1	981049	981513	+	465	909	950	736	761	475	458	699	824
CAALFM_C204690CA	NC_032090.1	982318	984330	-	2013	191	184	254	285	360	312	239	216
CAALFM_C204700CA	NC_032090.1	984870	985955	-	1086	25	9	26	38	42	62	28	23
CAALFM_C204710CA	NC_032090.1	986357	987391	-	1035	2031	2159	1817	1970	1972	1866	2002	1909
CAALFM_C204720CA	NC_032090.1	988585	990066	-	1482	539	539	502	520	582	655	555	447
CAALFM_C204730WA	NC_032090.1	991582	993189	+	1608	103	108	127	107	83	113	77	87
CAALFM_C204740CA	NC_032090.1	993261	994097	-	837	79	80	81	76	110	138	71	70
CAALFM_C204750WA	NC_032090.1	995291	996994	+	1704	741	640	645	546	390	407	372	363
CAALFM_C204760WA	NC_032090.1	997716	1000391	+	2676	287	309	238	237	177	201	230	212
CAALFM_C204770WA	NC_032090.1	1000715	1001686	+	972	147	220	282	224	241	214	142	153
CAALFM_C204780WA	NC_032090.1	1001834	1004284	+	2451	862	817	849	871	924	811	778	638
CAALFM_C204790CA	NC_032090.1	1004405	1005511	-	1107	252	314	298	362	193	130	228	218
CAALFM_C204800CA	NC_032090.1	1005765	1007186	-	1422	320	318	351	355	424	396	417	412
CAALFM_C204810WA	NC_032090.1	1007626	1008294	+	669	74	79	52	91	75	64	59	55
CAALFM_C204820WA	NC_032090.1	1008544	1009959	+	1416	982	909	1132	1053	1059	1129	983	946
CAALFM_C204830WA	NC_032090.1	1010657	1011961	+	1305	73	72	140	138	296	266	69	57
CAALFM_C204850CA	NC_032090.1;NC_032090.1	1013027;1014387	1014308;1014433	-;-	1329	981	911	1075	1002	1093	1071	931	881
CAALFM_C204860WA	NC_032090.1	1015779	1017017	+	1239	147	211	220	276	359	410	242	230
CAALFM_C204870CA	NC_032090.1	1017114	1021940	-	4827	2249	2254	2533	2425	2932	2640	2076	1909
CAALFM_C204880CA	NC_032090.1	1023076	1023824	-	749	13	8	8	14	34	21	4	13
CAALFM_C204890CA	NC_032090.1	1023950	1024021	-	72	1	0	2	1	26	20	3	1
CAALFM_C204920WA	NC_032090.1	1027101	1027171	+	71	0	0	6	4	15	16	0	1
CAALFM_C204930CA	NC_032090.1	1027317	1029554	-	2238	597	680	977	946	1379	1484	806	835
CAALFM_C204940CA	NC_032090.1	1030003	1031667	-	1665	1090	1342	1520	1537	1915	1860	1022	1005
CAALFM_C204950CA	NC_032090.1	1032788	1033654	-	867	14847	16361	15202	17277	10383	9078	14621	13454
CAALFM_C204960CA	NC_032090.1	1034743	1035171	-	429	752	947	780	779	460	624	1022	1003
CAALFM_C204970WA	NC_032090.1	1036592	1038424	+	1833	50	48	64	91	106	114	53	81
CAALFM_C204980CA	NC_032090.1	1038614	1039603	-	990	133	176	167	149	184	168	175	184
CAALFM_C204990WA	NC_032090.1	1040068	1040901	+	834	241	223	223	223	368	391	336	307
CAALFM_C205000CA	NC_032090.1	1040957	1041808	-	852	2500	2640	2626	2563	1850	2220	2624	2444
CAALFM_C205010WA	NC_032090.1	1042388	1042460	+	73	0	0	0	9	1	0	2	1
CAALFM_C205020WA	NC_032090.1	1042890	1043339	+	450	822	1026	912	932	871	809	1000	949
CAALFM_C205030CA	NC_032090.1;NC_032090.1	1043453;1044146	1044054;1044176	-;-	633	3058	3113	3272	2985	4037	3880	3881	3419
CAALFM_C205040CA	NC_032090.1	1044709	1045575	-	867	243	256	286	264	392	418	243	249
CAALFM_C205050CA	NC_032090.1	1045870	1047258	-	1389	529	610	632	584	687	612	568	494
CAALFM_C205060CA	NC_032090.1	1047799	1048197	-	399	37	66	51	62	101	88	62	47
CAALFM_C205070WA	NC_032090.1	1049141	1051390	+	2250	273	225	233	358	331	279	241	228
CAALFM_C205080CA	NC_032090.1	1051686	1052672	-	987	107	121	174	204	173	168	173	149
CAALFM_C205090WA	NC_032090.1	1052876	1055224	+	2349	1265	1298	1598	1816	1581	1653	1241	1215
CAALFM_C205100CA	NC_032090.1	1055350	1056660	-	1311	3622	4067	3735	4018	3378	3161	3673	3486
CAALFM_C205110WA	NC_032090.1	1056968	1058287	+	1320	1583	1684	1631	1379	1555	1496	1643	1592
CAALFM_C205130WA	NC_032090.1	1058903	1060021	+	1119	161	135	177	175	259	233	122	73
CAALFM_C205140WA	NC_032090.1	1060271	1063651	+	3381	241	246	251	214	277	269	207	199
CAALFM_C205150WA	NC_032090.1	1063895	1065157	+	1263	302	358	486	421	667	645	285	197
CAALFM_C205160CA	NC_032090.1	1065176	1067179	-	2004	3354	3671	3671	3981	2681	2862	3211	2740
CAALFM_C205170WA	NC_032090.1	1067412	1068083	+	672	1001	1033	965	938	1406	1324	1201	1026
CAALFM_C205180WA	NC_032090.1	1068935	1069132	+	198	1388	167	365	463	1946	1322	248	451
CAALFM_C205190WA	NC_032090.1	1069505	1070452	+	948	348	414	471	392	597	616	471	482
CAALFM_C205200CA	NC_032090.1	1070553	1071908	-	1356	262	297	315	363	521	442	352	324
CAALFM_C205210WA	NC_032090.1	1072110	1072487	+	378	94	109	90	111	98	125	93	106
CAALFM_C205220CA	NC_032090.1	1072541	1075639	-	3099	2268	2426	2692	2509	3038	3017	2803	2691
CAALFM_C205230CA	NC_032090.1	1076054	1077037	-	984	1763	2080	2203	2523	2156	2149	2085	1798
CAALFM_C205240CA	NC_032090.1;NC_032090.1	1077341;1077389	1077375;1077426	-;-	73	12	0	0	0	5	5	0	2
CAALFM_C205250CA	NC_032090.1	1077700	1079013	-	1314	1846	1916	1683	1380	824	795	1425	1293
CAALFM_C205260WA	NC_032090.1	1083758	1086160	+	2403	1036	1028	897	946	753	747	1083	888
CAALFM_C205270WA	NC_032090.1	1086618	1089464	+	2847	64	67	64	85	100	100	95	94
CAALFM_C205280CA	NC_032090.1	1089779	1090675	-	897	275	295	289	291	326	383	347	326
CAALFM_C205290CA	NC_032090.1	1090726	1091367	-	642	5044	5577	5532	6007	6065	6890	6627	6362
CAALFM_C205300CA	NC_032090.1;NC_032090.1	1091743;1092481	1092198;1092969	-;-	945	5858	6327	6891	6964	6583	6642	5971	5805
CAALFM_C205310CA	NC_032090.1	1092308	1092387	-	80	27	21	41	54	31	19	29	19
CAALFM_C205320WA	NC_032090.1	1093474	1095444	+	1971	128	171	163	238	251	257	175	170
CAALFM_C205330CA	NC_032090.1	1095605	1097107	-	1503	118	87	167	121	195	165	170	141
CAALFM_C205340CA	NC_032090.1	1097889	1098899	-	1011	494	525	510	518	598	565	528	522
CAALFM_C205350CA	NC_032090.1	1099417	1100277	-	861	212	241	212	216	272	311	231	194
CAALFM_C205360CA	NC_032090.1	1100492	1101952	-	1461	108	125	165	153	284	284	52	61
CAALFM_C205370CA	NC_032090.1	1102511	1104064	-	1554	147	131	119	124	80	71	164	144
CAALFM_C205380WA	NC_032090.1	1106562	1107680	+	1119	110	115	128	145	157	178	105	66
CAALFM_C205390CA	NC_032090.1	1107956	1108372	-	417	311	353	398	330	509	627	383	344
CAALFM_C205400WA	NC_032090.1	1108620	1109912	+	1293	229	215	249	236	249	341	281	313
CAALFM_C205410WA	NC_032090.1;NC_032090.1	1110394;1110930	1110447;1111214	+;+	339	60405	65927	61625	66391	47165	48474	71143	65650
CAALFM_C205420CA	NC_032090.1	1111557	1111675	-	119	243	262	380	416	526	647	289	267
CAALFM_C205430CA	NC_032090.1;NC_032090.1	1112160;1112209	1112195;1112246	-;-	74	0	0	10	9	5	16	2	0
CAALFM_C205440WA	NC_032090.1	1112792	1116265	+	3474	693	744	646	625	523	495	381	348
CAALFM_C205450CA	NC_032090.1	1116605	1117036	-	432	143	154	188	128	153	117	137	135
CAALFM_C205460WA	NC_032090.1	1118612	1120126	+	1515	28426	28026	28171	25408	43368	42781	37825	36038
CAALFM_C205470WA	NC_032090.1	1120484	1121404	+	921	2245	2247	2306	2310	1846	1992	2446	2302
CAALFM_C205480CA	NC_032090.1	1121552	1121806	-	255	662	766	728	737	567	686	915	852
CAALFM_C205490WA	NC_032090.1	1121980	1122426	+	447	107	115	139	151	145	172	178	143
